NCBI_ID	Title
XM_062078429.1	PREDICTED: Apis cerana basement membrane-specific heparan sulfate proteoglycan core protein (LOC108001671), transcript variant X2, mRNA
XM_062078428.1	PREDICTED: Apis cerana basement membrane-specific heparan sulfate proteoglycan core protein (LOC108001671), transcript variant X1, mRNA
XM_062078263.1	PREDICTED: Apis cerana uncharacterized LOC107995299 (LOC107995299), transcript variant X2, mRNA
XM_062078136.1	PREDICTED: Apis cerana adenomatous polyposis coli protein (LOC107995316), transcript variant X9, mRNA
XR_009830752.1	PREDICTED: Apis cerana uncharacterized LOC114577801 (LOC114577801), transcript variant X1, ncRNA
XM_062077715.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X14, mRNA
XM_062077713.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X12, mRNA
XM_062077712.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X11, mRNA
XM_062077711.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X10, mRNA
XM_062077710.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X9, mRNA
XM_062077709.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X8, mRNA
XM_062077708.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X7, mRNA
XM_062077707.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X6, mRNA
XM_062077706.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X5, mRNA
XM_062077705.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X4, mRNA
XM_062077704.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X3, mRNA
XM_062077703.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X2, mRNA
XM_062077702.1	PREDICTED: Apis cerana uncharacterized LOC108002523 (LOC108002523), transcript variant X1, mRNA
XM_062077678.1	PREDICTED: Apis cerana cytoplasmic polyadenylation element-binding protein 2 (LOC107998447), transcript variant X2, mRNA
XM_062077677.1	PREDICTED: Apis cerana cytoplasmic polyadenylation element-binding protein 2 (LOC107998447), transcript variant X1, mRNA
XM_062077606.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X13, mRNA
XM_062077605.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X12, mRNA
XM_062077604.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X11, mRNA
XM_062077600.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X7, mRNA
XM_062077599.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X6, mRNA
XM_062077598.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X5, mRNA
XM_062077597.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X4, mRNA
XM_062077596.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X3, mRNA
XM_062077595.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X2, mRNA
